study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
32754	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Gastrointestinal Neuroendocrine Tumors	msk	NA
32769	msk_impact_2017	Esophagogastric Cancer	Signet Ring Cell Carcinoma of the Stomach	msk	NA
32787	msk_impact_2017	Non-Small Cell Lung Cancer	Spindle Cell Carcinoma of the Lung	msk	NA
32799	msk_impact_2017	Mesothelioma	Testicular Mesothelioma	msk	NA
32815	msk_impact_2017	Head and Neck Cancer	Nasopharyngeal Carcinoma	msk	NA
32844	msk_impact_2017	Ovarian Cancer	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	msk	NA
32888	msk_impact_2017	Non-Small Cell Lung Cancer	Lung Neuroendocrine Tumor	msk	NA
32899	msk_impact_2017	Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	msk	NA
32947	msk_impact_2017	Wilms Tumor	Wilms' Tumor	msk	NA
32960	msk_impact_2017	Mature T and NK Neoplasms	Mature T and NK Neoplasms	msk	NA
32961	msk_impact_2017	Nerve Sheath Tumor	Cellular Schwannoma	msk	NA
32985	msk_impact_2017	Bladder Cancer	Bladder Adenocarcinoma	msk	NA
32986	msk_impact_2017	Cancer of Unknown Primary	Neuroendocrine Tumor, NOS	msk	NA
32999	msk_impact_2017	Miscellaneous Brain Tumor	Malignant Lymphoma	msk	NA
33002	msk_impact_2017	Ovarian Cancer	Low-Grade Serous Ovarian Cancer	msk	NA
33011	msk_impact_2017	Esophagogastric Cancer	Mucinous Stomach Adenocarcinoma	msk	NA
33066	msk_impact_2017	Bone Cancer	Chondroblastic Osteosarcoma	msk	NA
33070	msk_impact_2017	Esophagogastric Cancer	Tubular Stomach Adenocarcinoma	msk	NA
33093	msk_impact_2017	Non-Small Cell Lung Cancer	Lung Carcinoid	msk	NA
33148	msk_impact_2017	Cancer of Unknown Primary	Small Cell Carcinoma of Unknown Primary	msk	NA
33155	msk_impact_2017	Soft Tissue Sarcoma	Follicular Dendritic Cell Sarcoma	msk	NA
33167	msk_impact_2017	Ovarian Cancer	Small Cell Carcinoma of the Ovary	msk	NA
33173	msk_impact_2017	Prostate Cancer	Prostate Small Cell Carcinoma	msk	NA
33189	msk_impact_2017	Soft Tissue Sarcoma	Epithelioid Sarcoma	msk	NA
33206	msk_impact_2017	Sellar Tumor	Pituitary Adenoma	msk	NA
33212	msk_impact_2017	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	msk	NA
33221	msk_impact_2017	Renal Cell Carcinoma	Translocation-Associated Renal Cell Carcinoma	msk	NA
33242	msk_impact_2017	Mature B-Cell Neoplasms	Marginal Zone Lymphoma	msk	NA
33270	msk_impact_2017	Appendiceal Cancer	Signet Ring Cell Type of the Appendix	msk	NA
33292	msk_impact_2017	Bone Cancer	Chordoma	msk	NA
33295	msk_impact_2017	Non-Small Cell Lung Cancer	Basaloid Large Cell Carcinoma of the Lung	msk	NA
33328	msk_impact_2017	Soft Tissue Sarcoma	Sarcoma, NOS	msk	NA
33336	msk_impact_2017	Soft Tissue Sarcoma	Epithelioid Hemangioendothelioma	msk	NA
33338	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	msk	NA
33341	msk_impact_2017	Salivary Gland Cancer	Mucoepidermoid Carcinoma	msk	NA
33420	msk_impact_2017	Mature B-Cell Neoplasms	Follicular Lymphoma	msk	NA
33428	msk_impact_2017	Colorectal Cancer	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	msk	NA
33457	msk_impact_2017	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	msk	NA
33466	msk_impact_2017	Pheochromocytoma	Pheochromocytoma	msk	NA
33482	msk_impact_2017	Pancreatic Cancer	Adenosquamous Carcinoma of the Pancreas	msk	NA
33490	msk_impact_2017	Pancreatic Cancer	Undifferentiated Carcinoma of the Pancreas	msk	NA
33642	msk_impact_2017	Non-Small Cell Lung Cancer	Sarcomatoid Carcinoma of the Lung	msk	NA
33685	msk_impact_2017	Ovarian Cancer	Mucinous Ovarian Cancer	msk	NA
33721	msk_impact_2017	Salivary Gland Cancer	Salivary Adenocarcinoma	msk	NA
33733	msk_impact_2017	Skin Cancer, Non-Melanoma	Extramammary Paget Disease	msk	NA
33749	msk_impact_2017	Salivary Gland Cancer	Myoepithelial Carcinoma	msk	NA
33819	msk_impact_2017	Soft Tissue Sarcoma	Pleomorphic Liposarcoma	msk	NA
33869	msk_impact_2017	Renal Cell Carcinoma	Renal Mucinous Tubular Spindle Cell Carcinoma	msk	NA
33902	msk_impact_2017	Appendiceal Cancer	Goblet Cell Carcinoid of the Appendix	msk	NA
33920	msk_impact_2017	CNS Cancer	Anaplastic Meningioma	msk	NA
33923	msk_impact_2017	Germ Cell Tumor	Mature Teratoma	msk	NA
33953	msk_impact_2017	Cancer of Unknown Primary	Poorly Differentiated Carcinoma, NOS	msk	NA
33954	msk_impact_2017	Soft Tissue Sarcoma	Well-Differentiated Liposarcoma	msk	NA
33960	msk_impact_2017	Uterine Sarcoma	Endometrial Stromal Sarcoma	msk	NA
34009	msk_impact_2017	Soft Tissue Sarcoma	Intimal Sarcoma	msk	NA
34028	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Rectum	msk	NA
34030	msk_impact_2017	Hodgkin Lymphoma	Classical Hodgkin Lymphoma	msk	NA
34047	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	msk	NA
34063	msk_impact_2017	Skin Cancer, Non-Melanoma	Sebaceous Carcinoma	msk	NA
34142	msk_impact_2017	CNS Cancer	Solitary Fibrous Tumor of the Central Nervous System	msk	NA
34228	msk_impact_2017	Miscellaneous Brain Tumor	Hemangioblastoma	msk	NA
34232	msk_impact_2017	Mature T and NK Neoplasms	Peripheral T-Cell lymphoma, NOS	msk	NA
34234	msk_impact_2017	Salivary Gland Cancer	Acinic Cell Carcinoma	msk	NA
34253	msk_impact_2017	Breast Cancer	Breast Ductal Carcinoma In Situ	msk	NA
34341	msk_impact_2017	Cervical Cancer	Mixed Cervical Carcinoma	msk	NA
34351	msk_impact_2017	Soft Tissue Sarcoma	Spindle Cell Rhabdomyosarcoma	msk	NA
34459	msk_impact_2017	Adrenocortical Adenoma	Adrenocortical Adenoma	msk	NA
34544	msk_impact_2017	Germ Cell Tumor	Choriocarcinoma	msk	NA
34600	msk_impact_2017	Soft Tissue Sarcoma	Myxoma	msk	NA
34608	msk_impact_2017	CNS Cancer	Atypical Meningioma	msk	NA
34627	msk_impact_2017	Soft Tissue Sarcoma	Inflammatory Myofibroblastic Tumor	msk	NA
34655	msk_impact_2017	Soft Tissue Sarcoma	Soft Tissue Myoepithelial Carcinoma	msk	NA
34666	msk_impact_2017	Ovarian Cancer	Serous Borderline Ovarian Tumor	msk	NA
34676	msk_impact_2017	Mesothelioma	Pleural Mesothelioma, Biphasic Type	msk	NA
34699	msk_impact_2017	Glioma	Anaplastic Pleomorphic Xanthoastrocytoma	msk	NA
34701	msk_impact_2017	Bladder Cancer	Urethral Adenocarcinoma	msk	NA
34730	msk_impact_2017	Bone Cancer	Mesenchymal Chondrosarcoma	msk	NA
34747	msk_impact_2017	Mastocytosis	Systemic Mastocytosis	msk	NA
34757	msk_impact_2017	Bladder Cancer	Bladder Squamous Cell Carcinoma	msk	NA
34838	msk_impact_2017	CNS Cancer	Hemangiopericytoma of the Central Nervous System	msk	NA
34853	msk_impact_2017	Bladder Cancer	Urethral Urothelial Carcinoma	msk	NA
34859	msk_impact_2017	Head and Neck Cancer	Epithelial-Myoepithelial Carcinoma	msk	NA
34904	msk_impact_2017	Breast Sarcoma	Breast Angiosarcoma	msk	NA
34950	msk_impact_2017	Melanoma	Mucosal Melanoma of the Urethra	msk	NA
34973	msk_impact_2017	Melanoma	Head and Neck Mucosal Melanoma	msk	NA
34993	msk_impact_2017	Bone Cancer	Secondary Osteosarcoma	msk	NA
35004	msk_impact_2017	Skin Cancer, Non-Melanoma	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	msk	NA
35033	msk_impact_2017	Soft Tissue Sarcoma	Ossifying Fibromyxoid Tumor	msk	NA
35034	msk_impact_2017	Salivary Gland Cancer	Salivary Carcinoma	msk	NA
35049	msk_impact_2017	Bone Cancer	Extraskeletal Myxoid Chondrosarcoma	msk	NA
35093	msk_impact_2017	Renal Cell Carcinoma	Renal Angiomyolipoma	msk	NA
35133	msk_impact_2017	Uterine Sarcoma	Uterine Adenosarcoma	msk	NA
35147	msk_impact_2017	Cervical Cancer	Cervical Clear Cell Carcinoma	msk	NA
35149	msk_impact_2017	Head and Neck Cancer	Sinonasal Squamous Cell Carcinoma	msk	NA
35223	msk_impact_2017	Bladder Cancer	Urachal Adenocarcinoma	msk	NA
35253	msk_impact_2017	Sex Cord Stromal Tumor	Steroid Cell Tumor, NOS	msk	NA
35271	msk_impact_2017	Cancer of Unknown Primary	Adenocarcinoma, NOS	msk	NA
35382	msk_impact_2017	Bone Cancer	Dedifferentiated Chondrosarcoma	msk	NA
35488	msk_impact_2017	Pancreatic Cancer	Pancreatoblastoma	msk	NA
35530	msk_impact_2017	Soft Tissue Sarcoma	Myofibroma	msk	NA
35547	msk_impact_2017	Histiocytosis	Langerhans Cell Histiocytosis	msk	NA
35562	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Paraganglioma	msk	NA
35726	msk_impact_2017	Soft Tissue Sarcoma	Alveolar Rhabdomyosarcoma	msk	NA
35780	msk_impact_2017	Head and Neck Cancer	Head and Neck Neuroendocrine Carcinoma	msk	NA
35830	msk_impact_2017	Mature B-Cell Neoplasms	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	msk	NA
35883	msk_impact_2017	Germ Cell Tumor	Teratoma with Malignant Transformation	msk	NA
35909	msk_impact_2017	Bladder Cancer	Small Cell Bladder Cancer	msk	NA
35925	msk_impact_2017	Cervical Cancer	Intestinal Type Mucinous Carcinoma	msk	NA
35951	msk_impact_2017	Melanoma	Mucosal Melanoma of the Esophagus	msk	NA
35994	msk_impact_2017	Cancer of Unknown Primary	Squamous Cell Carcinoma, NOS	msk	NA
36011	msk_impact_2017	Bladder Cancer	Urethral Squamous Cell Carcinoma	msk	NA
36042	msk_impact_2017	Head and Neck Cancer	Head and Neck Carcinoma, Other	msk	NA
36100	msk_impact_2017	Penile Cancer	Basaloid Penile Squamous Cell Carcinoma	msk	NA
36106	msk_impact_2017	Bone Cancer	Small Cell Osteosarcoma	msk	NA
36110	msk_impact_2017	Soft Tissue Sarcoma	Clear Cell Sarcoma	msk	NA
36152	msk_impact_2017	Skin Cancer, Non-Melanoma	Sweat Gland Adenocarcinoma	msk	NA
36285	msk_impact_2017	Hepatobiliary Cancer	Hepatoblastoma	msk	NA
36316	msk_impact_2017	Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	msk	NA
36668	msk_impact_2017	Uterine Sarcoma	Uterine Myxoid Leiomyosarcoma	msk	NA
36687	msk_impact_2017	Bone Cancer	Myxoid Chondrosarcoma	msk	NA
36718	msk_impact_2017	Bone Cancer	Osteoblastic Osteosarcoma	msk	NA
36719	msk_impact_2017	Skin Cancer, Non-Melanoma	Dermatofibrosarcoma Protuberans	msk	NA
36769	msk_impact_2017	Uterine Sarcoma	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	msk	NA
36915	msk_impact_2017	Head and Neck Cancer	Hypopharynx Squamous Cell Carcinoma	msk	NA
36985	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Astroblastoma	msk	NA
37034	msk_impact_2017	CNS Cancer	Anaplastic Ependymoma	msk	NA
37320	msk_impact_2017	Soft Tissue Sarcoma	Low-Grade Fibromyxoid Sarcoma	msk	NA
37427	msk_impact_2017	Mature B-Cell Neoplasms	Plasma Cell Myeloma	msk	NA
37509	msk_impact_2017	Head and Neck Cancer	Clear Cell Odontogenic Carcinoma	msk	NA
37511	msk_impact_2017	Soft Tissue Sarcoma	Desmoid/Aggressive Fibromatosis	msk	NA
37606	msk_impact_2017	Non-Small Cell Lung Cancer	Pleomorphic Carcinoma of the Lung	msk	NA
37642	msk_impact_2017	Non-Small Cell Lung Cancer	Lymphoepithelioma-like Carcinoma of the Lung	msk	NA
37966	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Central Neurocytoma	msk	NA
38025	msk_impact_2017	Ovarian Cancer	Ovarian Seromucinous Carcinoma	msk	NA
38075	msk_impact_2017	Head and Neck Cancer	Odontogenic Carcinoma	msk	NA
38180	msk_impact_2017	Retinoblastoma	Retinoblastoma	msk	NA
38218	msk_impact_2017	Skin Cancer, Non-Melanoma	Skin Adnexal Carcinoma	msk	NA
38473	msk_impact_2017	Sellar Tumor	Craniopharyngioma, Adamantinomatous Type	msk	NA
38502	msk_impact_2017	CNS Cancer	Ependymomal Tumor	msk	NA
38584	msk_impact_2017	Cervical Cancer	Mesonephric Carcinoma	msk	NA
38744	msk_impact_2017	Ovarian Cancer	Ovarian Cancer, Other	msk	NA
38746	msk_impact_2017	Mature B-Cell Neoplasms	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	msk	NA
38848	msk_impact_2017	Glioma	Pilocytic Astrocytoma	msk	NA
38910	msk_impact_2017	Renal Cell Carcinoma	Renal Oncocytoma	msk	NA
38998	msk_impact_2017	Mature T and NK Neoplasms	Anaplastic Large Cell Lymphoma	msk	NA
39067	msk_impact_2017	Sex Cord Stromal Tumor	Sertoli-Leydig Cell Tumor	msk	NA
39125	msk_impact_2017	Renal Cell Carcinoma	Renal Clear Cell Carcinoma with Sarcomatoid Features	msk	NA
39141	msk_impact_2017	Ovarian Cancer	High-Grade Neuroendocrine Carcinoma of the Ovary	msk	NA
39276	msk_impact_2017	Renal Cell Carcinoma	Renal Cell Carcinoma	msk	NA
39320	msk_impact_2017	Embryonal Tumor	Medulloblastoma	msk	NA
39340	msk_impact_2017	Bladder Cancer	Sarcomatoid Carcinoma of the Urinary Bladder	msk	NA
39399	msk_impact_2017	Renal Cell Carcinoma	Clear Cell Papillary Renal Cell Carcinoma	msk	NA
39518	msk_impact_2017	Mature B-Cell Neoplasms	Waldenstrom Macroglobulinemia	msk	NA
39659	msk_impact_2017	Glioma	Pleomorphic Xanthoastrocytoma	msk	NA
39810	msk_impact_2017	Embryonal Tumor	Olfactory Neuroblastoma	msk	NA
40058	msk_impact_2017	Skin Cancer, Non-Melanoma	Dermatofibroma	msk	NA
40254	msk_impact_2017	Embryonal Tumor	Primitive Neuroectodermal Tumor	msk	NA
40317	msk_impact_2017	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	msk	NA
40336	msk_impact_2017	Ovarian Cancer	Serous Ovarian Cancer	msk	NA
40492	msk_impact_2017	Non-Small Cell Lung Cancer	Ciliated Muconodular Papillary Tumor of the Lung	msk	NA
40532	msk_impact_2017	Esophagogastric Cancer	Diffuse Type Stomach Adenocarcinoma	msk	NA
40625	msk_impact_2017	Glioma	Anaplastic Ganglioglioma	msk	NA
40653	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumors of the Stomach	msk	NA
40980	msk_impact_2017	Glioma	Ganglioglioma	msk	NA
41084	msk_impact_2017	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	msk	NA
41106	msk_impact_2017	Ovarian Cancer	Ovarian Epithelial Tumor	msk	NA
41284	msk_impact_2017	Soft Tissue Sarcoma	Proximal-Type Epithelioid Sarcoma	msk	NA
41382	msk_impact_2017	CNS Cancer	Myxopapillary Ependymoma	msk	NA
41541	msk_impact_2017	Miscellaneous Neuroepithelial Tumor	Extraventricular Neurocytoma	msk	NA
41769	msk_impact_2017	Colorectal Cancer	Medullary Carcinoma of the Colon	msk	NA
41897	msk_impact_2017	Soft Tissue Sarcoma	Liposarcoma	msk	NA
42325	msk_impact_2017	Renal Cell Carcinoma	Collecting Duct Renal Cell Carcinoma	msk	NA
42434	msk_impact_2017	Sellar Tumor	Pituicytoma	msk	NA
42572	msk_impact_2017	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	msk	NA
42688	msk_impact_2017	Soft Tissue Sarcoma	Glomangiosarcoma	msk	NA
42834	mixeden_2018_all	Melanoma	Melanoma	mixeden	NA
43058	mixeden_2018_all	Melanoma	Lentigo Maligna Melanoma	mixeden	NA
43112	mbn_mdacc_2013	Mature B-Cell Neoplasms	Burkitt Lymphoma	mbn	Mature B-Cell Neoplasms
43483	mbn_mdacc_2013	Mature B-Cell Neoplasms	High-Grade B-Cell Lymphoma, with MYC and BCL2 and/or BCL6 Rearrangements	mbn	Mature B-Cell Neoplasms
43615	mbn_mdacc_2013	Mature B-Cell Neoplasms	High-Grade B-Cell Lymphoma, NOS	mbn	Mature B-Cell Neoplasms
44129	mbl_sickkids_2016	Embryonal Tumor	Desmoplastic/Nodular Medulloblastoma	mbl	Medulloblastoma
44130	mbl_sickkids_2016	Embryonal Tumor	Large Cell/Anaplastic Medulloblastoma	mbl	Medulloblastoma
45320	meso_tcga_pan_can_atlas_2018	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type	meso	NA
45322	meso_tcga_pan_can_atlas_2018	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type	meso	NA
45334	meso_tcga_pan_can_atlas_2018	Pleural Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	meso	NA
47185	skcm_ucla_2016	Melanoma	Cutaneous Melanom	skcm	Cutaneous Melanoma
47285	prad_su2c_2019	prad_su2c_2019	prad_su2c_2019	prad	Prostate Adenocarcinoma
47729	prad_su2c_2015	Prostate Adenocarcinoma	Prostate Adenocarcinoma	prad	Prostate Adenocarcinoma
48090	mds_tokyo_2011	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia	mds	Myelodysplastic Syndromes
48093	mds_tokyo_2011	Myelodysplastic Syndromes	Myelodysplastic Syndromes	mds	Myelodysplastic Syndromes
48119	cellline_nci60	Colon	Colorectal Adenocarcinoma	cellline	NA
48121	cellline_nci60	Non-Small Cell Lung	Non-Small Cell Lung Cancer	cellline	NA
48123	cellline_nci60	cellline_nci60	cellline_nci60	cellline	NA
48126	cellline_nci60	Ovarian	Ovary/Fallopian Tube	cellline	NA
48130	cellline_nci60	CNS	CNS/Brain	cellline	NA
48132	cellline_nci60	Myeloid Neoplasm	Myeloid Neoplasm	cellline	NA
48133	cellline_nci60	Renal	Renal Cell Carcinoma	cellline	NA
48134	cellline_nci60	Prostate	Prostate	cellline	NA
48139	cellline_nci60	Breast	Invasive Breast Carcinoma	cellline	NA
48625	nepc_wcm_2016	Prostate Cancer	Castration-Resistant Prostate Cancer	nepc	NA
50120	hnsc_mdanderson_2013	Head and Neck Cancer	Head and Neck Squamous Cell CarcinomaÃ?	hnsc	Head and Neck Squamous Cell Carcinoma
50723	ov_tcga_pan_can_atlas_2018	Ovarian Epithelial Tumor	Serous Ovarian Cancer	ov	NA
53613	paad_tcga_pan_can_atlas_2018	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	paad	Pancreatic Adenocarcinoma
53953	paad_tcga	Pancreatic Cancer, NOS	Pancreas	paad	Pancreatic Adenocarcinoma
58906	pediatric_dkfz_2017	Ependymoma supratentorial	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58907	pediatric_dkfz_2017	High-grade glioma K27Mwt	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58910	pediatric_dkfz_2017	Wilms' tumors	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58913	pediatric_dkfz_2017	Atypial teratoid/rhabdoid tumor	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58917	pediatric_dkfz_2017	T-cell acute lymphoblastic leukemia	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58919	pediatric_dkfz_2017	Ependymoma infratentorial	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58920	pediatric_dkfz_2017	Burkitt's lymphoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58923	pediatric_dkfz_2017	B-cell acute lymphoblastic leukemia, non-hypodiploid	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58926	pediatric_dkfz_2017	High-grade glioma K27Mmut	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58927	pediatric_dkfz_2017	Medulloblastoma WNT	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58931	pediatric_dkfz_2017	Medulloblastoma Group4	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58935	pediatric_dkfz_2017	Medulloblastoma Group3	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58936	pediatric_dkfz_2017	Pilocytic astrocytoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58942	pediatric_dkfz_2017	Embryonal tumor with multilayered rosettes	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58943	pediatric_dkfz_2017	Neuroblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58953	pediatric_dkfz_2017	Osteosarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
58977	pediatric_dkfz_2017	Medulloblastoma SHH	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59023	pediatric_dkfz_2017	Hepatoblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59025	pediatric_dkfz_2017	B-cell acute lymphoblastic leukemia, hypodiploid	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59034	pediatric_dkfz_2017	Acute myeloid leukemias	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59211	pediatric_dkfz_2017	Ewing's sarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59229	pediatric_dkfz_2017	Rhabdomyosarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59680	pediatric_dkfz_2017	Adrenocortical carcinoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59713	pediatric_dkfz_2017	Retinoblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
59867	mixed_pipseq_2017	Bone Cancer	Telangiectatic Osteosarcoma	mixed	Mixed Cancer Types
59868	mixed_pipseq_2017	Nested stromal epithelial tumor of the liver	Nested stromal epithelial tumor of the liver	mixed	Mixed Cancer Types
59870	mixed_pipseq_2017	Liver Tumor	Hepatoblastoma	mixed	Mixed Cancer Types
59871	mixed_pipseq_2017	Ependymomal Tumor	Anaplastic ependymoma	mixed	Mixed Cancer Types
59873	mixed_pipseq_2017	Liver Tumor	Hepatocellular Carcinoma	mixed	Mixed Cancer Types
59877	mixed_pipseq_2017	Nerve Sheath Tumor	Plexiform Schwannoma	mixed	Mixed Cancer Types
59879	mixed_pipseq_2017	Choroid Plexus Tumor	Choroid Plexus Papilloma	mixed	Mixed Cancer Types
59880	mixed_pipseq_2017	Glioblastoma	Glioblastoma multiforme	mixed	Mixed Cancer Types
59882	mixed_pipseq_2017	Fibrosarcoma	Congenital Fibrosarcoma	mixed	Mixed Cancer Types
59883	mixed_pipseq_2017	Renal cancer	Nephroblastomatosis	mixed	Mixed Cancer Types
59884	mixed_pipseq_2017	Non-Hodgkin Lymphoma	Anaplastic Large Cell Lymphoma	mixed	Mixed Cancer Types
59885	mixed_pipseq_2017	Embryonal Tumor	Neuroblastoma	mixed	Mixed Cancer Types
59886	mixed_pipseq_2017	Lymphoid Neoplasm	B-Lymphoblastic Leukemia/Lymphoma	mixed	Mixed Cancer Types
59889	mixed_pipseq_2017	Brain Cancer	Medulloblastoma	mixed	Mixed Cancer Types
59895	mixed_pipseq_2017	Lung Cancer	Pleuropulmonary blastoma	mixed	Mixed Cancer Types
59900	mixed_pipseq_2017	Ovarian Germ Cell Tumor	Immature Teratoma	mixed	Mixed Cancer Types
59903	mixed_pipseq_2017	Soft Tissue Tumor	Plexiform fibrohistiocytic tumor	mixed	Mixed Cancer Types
59906	mixed_pipseq_2017	Ependymomal Tumor	Ependymoma	mixed	Mixed Cancer Types
59917	mixed_pipseq_2017	Leukemia	Chronic Myelogenous Leukemia	mixed	Mixed Cancer Types
59918	mixed_pipseq_2017	Renal cancer	Renal Cell Carcinoma	mixed	Mixed Cancer Types
59922	mixed_pipseq_2017	Non-Germinomatous Germ Cell Tumor	Pineal Germ Cell Tumor	mixed	Mixed Cancer Types
59923	mixed_pipseq_2017	Salivary Gland-Type Tumor of the Lung	Mucoepidermoid carcinoma of the lung	mixed	Mixed Cancer Types
59925	mixed_pipseq_2017	Pineal Tumor	Pineoblastoma	mixed	Mixed Cancer Types
59929	mixed_pipseq_2017	Cutaneous malignancy of hair matrix cells	Pilomatrix carcinoma	mixed	Mixed Cancer Types
59931	mixed_pipseq_2017	Renal cancer	Wilms Tumor	mixed	Mixed Cancer Types
59932	mixed_pipseq_2017	Brain Cancer	Anaplastic medulloblastoma	mixed	Mixed Cancer Types
59933	mixed_pipseq_2017	Brain Cancer	Atypical Teratoid/Rhabdoid Tumor	mixed	Mixed Cancer Types
59935	mixed_pipseq_2017	Soft Tissue Sarcoma	Rhabdomyosarcoma, Alveolar subtype	mixed	Mixed Cancer Types
59943	mixed_pipseq_2017	Soft Tissue Sarcoma	Small round blue cell tumor/ Ewing Sarcoma	mixed	Mixed Cancer Types
59946	mixed_pipseq_2017	Diffuse Glioma	Diffuse Intrinsic Pontine Glioma	mixed	Mixed Cancer Types
59947	mixed_pipseq_2017	Non-Seminomatous Germ Cell Tumor	Non-seminomatous Mixed Germ Cell Tumor	mixed	Mixed Cancer Types
59949	mixed_pipseq_2017	Non-Seminomatous Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor, predominantly yolk sac type	mixed	Mixed Cancer Types
59951	mixed_pipseq_2017	Soft Tissue Tumor	Inflammatory myofibroblastic tumor	mixed	Mixed Cancer Types
59953	mixed_pipseq_2017	Encapsulated Glioma	Anaplastic pleomorphic xanthoastrocytoma	mixed	Mixed Cancer Types
59956	mixed_pipseq_2017	Brain Cancer	Glioma	mixed	Mixed Cancer Types
59957	mixed_pipseq_2017	Adrenal Tumor	Adrenocortical carcinoma	mixed	Mixed Cancer Types
59959	mixed_pipseq_2017	Hodgkin Lymphoma-like PTLD	Hodgkin Lymphoma-like PTLD	mixed	Mixed Cancer Types
59960	mixed_pipseq_2017	Brain Cancer	Optic nerve glioma	mixed	Mixed Cancer Types
59969	mixed_pipseq_2017	Encapsulated Glioma	Pilomyxoid astrocytoma	mixed	Mixed Cancer Types
59970	rt_target_2018_pub	Rhabdoid Cancer	Rhabdoid Cancer	rt	NA
60938	pcpg_tcga	Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor	pcpg	NA
61179	thyroid_mskcc_2016	Thyroid Cancer	Poorly Differentiated Thyroid Carcinoma	thyroid	Thyroid
61189	thyroid_mskcc_2016	Thyroid Cancer	Anaplastic Thyroid Carcinoma	thyroid	Thyroid
65387	hnc_mskcc_2016	Head and Neck Cancer	Cutaneous Squamous Cell Carcinoma	hnc	NA
65442	hnc_mskcc_2016	Salivary Gland Cancer	Salivary Adenocarcinoma NOS	hnc	NA
65634	nccrcc_genentech_2014	Renal Cell Carcinoma	Renal Non-Clear Cell Carcinoma	nccrcc	Renal Non-Clear Cell Carcinoma
65863	summit_2018	summit_2018	summit_2018	summit	NA
65875	summit_2018	Cervical Cancer	Cervical Adenocarcinoma	summit	NA
65887	summit_2018	Ampullary Carcinoma	Ampullary Carcinoma	summit	NA
