study	final_tissue	cancer_type	cancer_type_detailed	prefix	prefix_key_match
msk_impact_2017	Germ Cell	Germ Cell Tumor	Immature Teratoma	msk	NA
msk_impact_2017	Thymus	Thymic Tumor	Thymic Carcinoma	msk	NA
msk_impact_2017	Peripheral Nervous System	Nerve Sheath Tumor	Melanotic Schwannoma	msk	NA
msk_impact_2017	Skin	Vaginal Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	msk	NA
msk_impact_2017	Other	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	msk	NA
msk_impact_2017	Bowel	Small Bowel Cancer	Duodenal Adenocarcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Solitary Fibrous Tumor/Hemangiopericytoma	msk	NA
msk_impact_2017	Other	Histiocytosis	Erdheim-Chester Disease	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Desmoplastic Small-Round-Cell Tumor	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Alveolar Soft Part Sarcoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Uterine Epithelioid Leiomyosarcoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Undifferentiated Uterine Sarcoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Uterine Perivascular Epithelioid Cell Tumor	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Embryonal Rhabdomyosarcoma	msk	NA
msk_impact_2017	Esophagus/Stomach	Gastrointestinal Neuroendocrine Tumor	Gastrointestinal Neuroendocrine Tumors	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Signet Ring Cell Carcinoma of the Stomach	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Spindle Cell Carcinoma of the Lung	msk	NA
msk_impact_2017	Pleura	Mesothelioma	Testicular Mesothelioma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Nasopharyngeal Carcinoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Lung Neuroendocrine Tumor	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	msk	NA
msk_impact_2017	Kidney	Wilms Tumor	Wilms' Tumor	msk	NA
msk_impact_2017	Lymphoid	Mature T and NK Neoplasms	Mature T and NK Neoplasms	msk	NA
msk_impact_2017	Peripheral Nervous System	Nerve Sheath Tumor	Cellular Schwannoma	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Bladder Adenocarcinoma	msk	NA
msk_impact_2017	Other	Cancer of Unknown Primary	Neuroendocrine Tumor, NOS	msk	NA
msk_impact_2017	CNS/Brain	Miscellaneous Brain Tumor	Malignant Lymphoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Low-Grade Serous Ovarian Cancer	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Mucinous Stomach Adenocarcinoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Chondroblastic Osteosarcoma	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Tubular Stomach Adenocarcinoma	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Lung Carcinoid	msk	NA
msk_impact_2017	Other	Cancer of Unknown Primary	Small Cell Carcinoma of Unknown Primary	msk	NA
msk_impact_2017	Lymphoid	Soft Tissue Sarcoma	Follicular Dendritic Cell Sarcoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Small Cell Carcinoma of the Ovary	msk	NA
msk_impact_2017	Prostate	Prostate Cancer	Prostate Small Cell Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Epithelioid Sarcoma	msk	NA
msk_impact_2017	Pituitary	Sellar Tumor	Pituitary Adenoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Mature B-Cell Neoplasms	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Translocation-Associated Renal Cell Carcinoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Marginal Zone Lymphoma	msk	NA
msk_impact_2017	Appendix	Appendiceal Cancer	Signet Ring Cell Type of the Appendix	msk	NA
msk_impact_2017	Bone	Bone Cancer	Chordoma	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Basaloid Large Cell Carcinoma of the Lung	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Sarcoma, NOS	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Epithelioid Hemangioendothelioma	msk	NA
msk_impact_2017	Peripheral Nervous System	Miscellaneous Neuroepithelial Tumor	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Mucoepidermoid Carcinoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Follicular Lymphoma	msk	NA
msk_impact_2017	Bowel	Colorectal Cancer	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	Pheochromocytoma	Pheochromocytoma	msk	NA
msk_impact_2017	Pancreas	Pancreatic Cancer	Adenosquamous Carcinoma of the Pancreas	msk	NA
msk_impact_2017	Pancreas	Pancreatic Cancer	Undifferentiated Carcinoma of the Pancreas	msk	NA
msk_impact_2017	Other	Histiocytosis	Histiocytic and Dendritic Cell Neoplasms	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Sarcomatoid Carcinoma of the Lung	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Mucinous Ovarian Cancer	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Salivary Adenocarcinoma	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Extramammary Paget Disease	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Myoepithelial Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Pleomorphic Liposarcoma	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Renal Mucinous Tubular Spindle Cell Carcinoma	msk	NA
msk_impact_2017	Appendix	Appendiceal Cancer	Goblet Cell Carcinoid of the Appendix	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Anaplastic Meningioma	msk	NA
msk_impact_2017	Germ Cell	Germ Cell Tumor	Mature Teratoma	msk	NA
msk_impact_2017	Other	Cancer of Unknown Primary	Poorly Differentiated Carcinoma, NOS	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Well-Differentiated Liposarcoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Endometrial Stromal Sarcoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Intimal Sarcoma	msk	NA
msk_impact_2017	Bowel	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Rectum	msk	NA
msk_impact_2017	Lymphoid	Hodgkin Lymphoma	Classical Hodgkin Lymphoma	msk	NA
msk_impact_2017	Bowel	Gastrointestinal Neuroendocrine Tumor	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Sebaceous Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Solitary Fibrous Tumor of the Central Nervous System	msk	NA
msk_impact_2017	CNS/Brain	Miscellaneous Brain Tumor	Hemangioblastoma	msk	NA
msk_impact_2017	Lymphoid	Mature T and NK Neoplasms	Peripheral T-Cell lymphoma, NOS	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Acinic Cell Carcinoma	msk	NA
msk_impact_2017	Breast	Breast Cancer	Breast Ductal Carcinoma In Situ	msk	NA
msk_impact_2017	Cervix	Cervical Cancer	Mixed Cervical Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Spindle Cell Rhabdomyosarcoma	msk	NA
msk_impact_2017	Adrenal Gland	Adrenocortical Adenoma	Adrenocortical Adenoma	msk	NA
msk_impact_2017	Germ Cell	Germ Cell Tumor	Choriocarcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Myxoma	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Atypical Meningioma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Inflammatory Myofibroblastic Tumor	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Soft Tissue Myoepithelial Carcinoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Serous Borderline Ovarian Tumor	msk	NA
msk_impact_2017	Pleura	Mesothelioma	Pleural Mesothelioma, Biphasic Type	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Anaplastic Pleomorphic Xanthoastrocytoma	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Urethral Adenocarcinoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Mesenchymal Chondrosarcoma	msk	NA
msk_impact_2017	Myeloid	Mastocytosis	Systemic Mastocytosis	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Bladder Squamous Cell Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Hemangiopericytoma of the Central Nervous System	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Urethral Urothelial Carcinoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Epithelial-Myoepithelial Carcinoma	msk	NA
msk_impact_2017	Breast	Breast Sarcoma	Breast Angiosarcoma	msk	NA
msk_impact_2017	Skin	Melanoma	Mucosal Melanoma of the Urethra	msk	NA
msk_impact_2017	Skin	Melanoma	Head and Neck Mucosal Melanoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Secondary Osteosarcoma	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Ossifying Fibromyxoid Tumor	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Salivary Carcinoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Extraskeletal Myxoid Chondrosarcoma	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Renal Angiomyolipoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Uterine Adenosarcoma	msk	NA
msk_impact_2017	Cervix	Cervical Cancer	Cervical Clear Cell Carcinoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Sinonasal Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Urachal Adenocarcinoma	msk	NA
msk_impact_2017	Other	Sex Cord Stromal Tumor	Steroid Cell Tumor, NOS	msk	NA
msk_impact_2017	Other	Cancer of Unknown Primary	Adenocarcinoma, NOS	msk	NA
msk_impact_2017	Bone	Bone Cancer	Dedifferentiated Chondrosarcoma	msk	NA
msk_impact_2017	Pancreas	Pancreatic Cancer	Pancreatoblastoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Myofibroma	msk	NA
msk_impact_2017	Other	Histiocytosis	Langerhans Cell Histiocytosis	msk	NA
msk_impact_2017	Peripheral Nervous System	Miscellaneous Neuroepithelial Tumor	Paraganglioma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Alveolar Rhabdomyosarcoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Head and Neck Neuroendocrine Carcinoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	msk	NA
msk_impact_2017	Germ Cell	Germ Cell Tumor	Teratoma with Malignant Transformation	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Small Cell Bladder Cancer	msk	NA
msk_impact_2017	Cervix	Cervical Cancer	Intestinal Type Mucinous Carcinoma	msk	NA
msk_impact_2017	Skin	Melanoma	Mucosal Melanoma of the Esophagus	msk	NA
msk_impact_2017	Skin	Cancer of Unknown Primary	Squamous Cell Carcinoma, NOS	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Urethral Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Head and Neck Carcinoma, Other	msk	NA
msk_impact_2017	Skin	Penile Cancer	Basaloid Penile Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Small Cell Osteosarcoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Clear Cell Sarcoma	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Sweat Gland Adenocarcinoma	msk	NA
msk_impact_2017	Liver	Hepatobiliary Cancer	Hepatoblastoma	msk	NA
msk_impact_2017	Pleura	Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Uterine Myxoid Leiomyosarcoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Myxoid Chondrosarcoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Osteoblastic Osteosarcoma	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Dermatofibrosarcoma Protuberans	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Hypopharynx Squamous Cell Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	Miscellaneous Neuroepithelial Tumor	Astroblastoma	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Anaplastic Ependymoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Low-Grade Fibromyxoid Sarcoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Clear Cell Odontogenic Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Desmoid/Aggressive Fibromatosis	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Pleomorphic Carcinoma of the Lung	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Lymphoepithelioma-like Carcinoma of the Lung	msk	NA
msk_impact_2017	CNS/Brain	Miscellaneous Neuroepithelial Tumor	Central Neurocytoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Ovarian Seromucinous Carcinoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Odontogenic Carcinoma	msk	NA
msk_impact_2017	Eye	Retinoblastoma	Retinoblastoma	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Skin Adnexal Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	Sellar Tumor	Craniopharyngioma, Adamantinomatous Type	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Ependymomal Tumor	msk	NA
msk_impact_2017	Cervix	Cervical Cancer	Mesonephric Carcinoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Ovarian Cancer, Other	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Pilocytic Astrocytoma	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Renal Oncocytoma	msk	NA
msk_impact_2017	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large Cell Lymphoma	msk	NA
msk_impact_2017	Other	Sex Cord Stromal Tumor	Sertoli-Leydig Cell Tumor	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma with Sarcomatoid Features	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	High-Grade Neuroendocrine Carcinoma of the Ovary	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Renal Cell Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	Embryonal Tumor	Medulloblastoma	msk	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Sarcomatoid Carcinoma of the Urinary Bladder	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Clear Cell Papillary Renal Cell Carcinoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Waldenstrom Macroglobulinemia	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Pleomorphic Xanthoastrocytoma	msk	NA
msk_impact_2017	CNS/Brain	Embryonal Tumor	Olfactory Neuroblastoma	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Dermatofibroma	msk	NA
msk_impact_2017	CNS/Brain	Embryonal Tumor	Primitive Neuroectodermal Tumor	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Serous Ovarian Cancer	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Ciliated Muconodular Papillary Tumor of the Lung	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Diffuse Type Stomach Adenocarcinoma	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Anaplastic Ganglioglioma	msk	NA
msk_impact_2017	Esophagus/Stomach	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumors of the Stomach	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Ganglioglioma	msk	NA
msk_impact_2017	Lymphoid	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Ovarian Epithelial Tumor	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Proximal-Type Epithelioid Sarcoma	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Myxopapillary Ependymoma	msk	NA
msk_impact_2017	CNS/Brain	Miscellaneous Neuroepithelial Tumor	Extraventricular Neurocytoma	msk	NA
msk_impact_2017	Bowel	Colorectal Cancer	Medullary Carcinoma of the Colon	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Liposarcoma	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Collecting Duct Renal Cell Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	Sellar Tumor	Pituicytoma	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Glomangiosarcoma	msk	NA
mixeden_2018_all	Skin	Melanoma	Melanoma	mixeden	NA
mixeden_2018_all	Skin	Melanoma	Lentigo Maligna Melanoma	mixeden	NA
mbl_sickkids_2016	CNS/Brain	Embryonal Tumor	Desmoplastic/Nodular Medulloblastoma	mbl	Medulloblastoma
mbl_sickkids_2016	CNS/Brain	Embryonal Tumor	Large Cell/Anaplastic Medulloblastoma	mbl	Medulloblastoma
meso_tcga_pan_can_atlas_2018	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Epithelioid Type	meso	NA
meso_tcga_pan_can_atlas_2018	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Biphasic Type	meso	NA
meso_tcga_pan_can_atlas_2018	Pleura	Pleural Mesothelioma	Pleural Mesothelioma, Sarcomatoid Type	meso	NA
skcm_ucla_2016	Skin	Melanoma	Cutaneous Melanom	skcm	Cutaneous Melanoma
prad_su2c_2015	Prostate	Prostate Adenocarcinoma	Prostate Adenocarcinoma	prad	Prostate Adenocarcinoma
mds_tokyo_2011	Lymphoid	Myelodysplastic/Myeloproliferative Neoplasms	Chronic Myelomonocytic Leukemia	mds	Myelodysplastic Syndromes
mds_tokyo_2011	Myeloid	Myelodysplastic Syndromes	Myelodysplastic Syndromes	mds	Myelodysplastic Syndromes
cellline_nci60	Bowel	Colon	Colorectal Adenocarcinoma	cellline	NA
cellline_nci60	Lung	Non-Small Cell Lung	Non-Small Cell Lung Cancer	cellline	NA
cellline_nci60	Other	NA	NA	cellline	NA
cellline_nci60	Ovary/Fallopian Tube	Ovarian	Ovary/Fallopian Tube	cellline	NA
cellline_nci60	CNS/Brain	CNS	CNS/Brain	cellline	NA
cellline_nci60	Myeloid	Myeloid Neoplasm	Myeloid Neoplasm	cellline	NA
cellline_nci60	Kidney	Renal	Renal Cell Carcinoma	cellline	NA
cellline_nci60	Prostate	Prostate	Prostate	cellline	NA
cellline_nci60	Breast	Breast	Invasive Breast Carcinoma	cellline	NA
nepc_wcm_2016	Prostate	Prostate Cancer	Castration-Resistant Prostate Cancer	nepc	NA
hnsc_mdanderson_2013	Head and Neck	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma�?	hnsc	Head and Neck Squamous Cell Carcinoma
ov_tcga_pan_can_atlas_2018	Ovary/Fallopian Tube	Ovarian Epithelial Tumor	Serous Ovarian Cancer	ov	NA
paad_tcga_pan_can_atlas_2018	Pancreas	Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	paad	Pancreatic Adenocarcinoma
paad_tcga	Pancreas	Pancreatic Cancer, NOS	Pancreas	paad	Pancreatic Adenocarcinoma
pediatric_dkfz_2017	Lymphoid	Ependymoma supratentorial	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	High-grade glioma K27Mwt	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Wilms' tumors	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Atypial teratoid/rhabdoid tumor	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	T-cell acute lymphoblastic leukemia	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Ependymoma infratentorial	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Burkitt's lymphoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	B-cell acute lymphoblastic leukemia, non-hypodiploid	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	High-grade glioma K27Mmut	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Medulloblastoma WNT	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Medulloblastoma Group4	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Medulloblastoma Group3	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Pilocytic astrocytoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Embryonal tumor with multilayered rosettes	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Neuroblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Osteosarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Medulloblastoma SHH	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Hepatoblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	B-cell acute lymphoblastic leukemia, hypodiploid	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Acute myeloid leukemias	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Ewing's sarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Rhabdomyosarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Adrenocortical carcinoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
pediatric_dkfz_2017	Lymphoid	Retinoblastoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
mixed_pipseq_2017	Bone	Bone Cancer	Telangiectatic Osteosarcoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Liver	Nested stromal epithelial tumor of the liver	Nested stromal epithelial tumor of the liver	mixed	Mixed Cancer Types
mixed_pipseq_2017	Liver	Liver Tumor	Hepatoblastoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Ependymomal Tumor	Anaplastic ependymoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Liver	Liver Tumor	Hepatocellular Carcinoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Peripheral Nervous System	Nerve Sheath Tumor	Plexiform Schwannoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Choroid Plexus Tumor	Choroid Plexus Papilloma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Glioblastoma	Glioblastoma multiforme	mixed	Mixed Cancer Types
mixed_pipseq_2017	Soft Tissue	Fibrosarcoma	Congenital Fibrosarcoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Kidney	Renal cancer	Nephroblastomatosis	mixed	Mixed Cancer Types
mixed_pipseq_2017	Lymphoid	Non-Hodgkin Lymphoma	Anaplastic Large Cell Lymphoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Embryonal Tumor	Neuroblastoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Lymphoid	Lymphoid Neoplasm	B-Lymphoblastic Leukemia/Lymphoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Brain Cancer	Medulloblastoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Lung	Lung Cancer	Pleuropulmonary blastoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Ovary/Fallopian Tube	Ovarian Germ Cell Tumor	Immature Teratoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Soft Tissue	Soft Tissue Tumor	Plexiform fibrohistiocytic tumor	mixed	Mixed Cancer Types
mixed_pipseq_2017	CNS/Brain	Ependymomal Tumor	Ependymoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Lymphoid	Leukemia	Chronic Myelogenous Leukemia	mixed	Mixed Cancer Types
mixed_pipseq_2017	Kidney	Renal cancer	Renal Cell Carcinoma	mixed	Mixed Cancer Types
mixed_pipseq_2017	Germ Cell	Non-Germinomatous Germ Cell Tumor	Pineal Germ Cell Tumor	mixed	Mixed Cancer Types
mixed_pipseq_2017	Head and Neck	Salivary Gland-Type Tumor of the Lung	Mucoepidermoid carcinoma of the lung	mixed	Mixed Cancer Types
mixed_pipseq_2017	Germ Cell	Pineal Tumor	Pineoblastoma	mixed	Mixed Cancer Types
