cancer_study_id	name	description
117	luad_tcga	Lung Adenocarcinoma (TCGA, Provisional)	TCGA Lung Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LUAD/20160128/gdac.broadinstitute.org_LUAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
118	luad_tsp	Lung Adenocarcinoma (TSP, Nature 2008)	Targeted sequencing of 163 lung adenocarcinoma tumor/normal pairs. Generated by WashU/Broad.
119	lusc_tcga_pub	Lung Squamous Cell Carcinoma (TCGA, Nature 2012)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Lung Squamous Cell Carcinoma project. 178 cases.<br><i>Nature 2012.</i> <a href="https://tcga-data.nci.nih.gov/docs/publications/lusc_2012/">Raw data via the TCGA Data Portal</a>.
120	lusc_tcga_pan_can_atlas_2018	Lung Squamous Cell Carcinoma (TCGA, PanCancer Atlas)	Lung Squamous Cell Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
121	lusc_tcga	Lung Squamous Cell Carcinoma (TCGA, Provisional)	TCGA Lung Squamous Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LUSC/20160128/gdac.broadinstitute.org_LUSC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
122	dlbc_tcga	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)	TCGA Lymphoid Neoplasm Diffuse Large B-cell Lymphoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/DLBC/20160128/gdac.broadinstitute.org_DLBC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
123	msk_impact_2017	MSK-IMPACT Clinical Sequencing Cohort (MSKCC, Nat Med 2017)	Targeted sequencing of 10,000 clinical cases using the MSK-IMPACT assay
124	mixed_allen_2018	MSS Mixed Solid Tumors (Broad/Dana-Farber, Nat Genet 2018)	Whole exome sequencing of tumor/normal pairs and corresponding clinical outcomes from patients treated with immune checkpoint inhibitors across multiple cancer types including melanoma, non-small cell lung cancer, head and neck cancer, and bladder cancer.
125	mpnst_mskcc	Malignant Peripheral Nerve Sheath Tumor (MSKCC, Nat Genet 2014)	Whole exome sequencing of 15 malignant peripheral nerve sheath tumor/normal pairs.
126	mcl_idibips_2013	Mantle Cell Lymphoma (IDIBIPS, PNAS 2013)	Whole exome sequencing of 29 primary mantle cell lymphomas and their matched normals.
127	mbn_mdacc_2013	Mature B-cell malignancies (MD Anderson Cancer Center)	We performed targeted deep sequencing of 380 recurrently mutated genes across a cohort of 755 mature B-cell malignancies to define conserved and disease-specific patterns of genomic alterations.
128	mbl_broad_2012	Medulloblastoma (Broad, Nature 2012)	Whole exome sequencing of 92 primary medulloblastoma tumor/normal pairs.
129	mbl_icgc	Medulloblastoma (ICGC, Nature 2012)	Comprehensive profiling of 125 matched tumor and germline medulloblastoma samples
130	mbl_pcgp	Medulloblastoma (PCGP, Nature 2012)	Whole genome sequencing of 37 medulloblastoma tumors and their matched normals from the Pediatric Cancer Genome Project (PCGP), a joint project by St. Jude Children's Research Hospital and Washington University.
131	mbl_sickkids_2016	Medulloblastoma (Sickkids, Nature 2016)	Whole-genome sequencing of 46 recurrent medulloblastoma samples.
132	skcm_broad_dfarber	Melanoma (Broad/Dana Farber, Nature 2012)	Whole Genome Sequencing of 25  metastatic melanoma samples with matched normals
133	lgggbm_tcga_pub	Merged Cohort of LGG and GBM (TCGA, Cell 2016)	Whole-exome sequencing from TCGA LGG and GBM cases
134	meso_tcga_pan_can_atlas_2018	Mesothelioma (TCGA, PanCancer Atlas)	Mesothelioma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
135	meso_tcga	Mesothelioma (TCGA, Provisional)	TCGA Mesothelioma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data at the <A HREF="https://portal.gdc.cancer.gov/legacy-archive/search/f?filters=%7B%22op%22:%22and%22,%22content%22:%5B%7B%22op%22:%22in%22,%22content%22:%7B%22field%22:%22cases.project.program.name%22,%22value%22:%5B%22TCGA%22%5D%7D%7D,%7B%22op%22:%22in%22,%22content%22:%7B%22field%22:%22cases.project.project_id%22,%22value%22:%5B%22TCGA-MESO%22%5D%7D%7D,%7B%22op%22:%22in%22,%22content%22:%7B%22field%22:%22files.data_format%22,%22value%22:%5B%22MAF%22%5D%7D%7D%5D%7D">GDC</A>.
136	brca_igr_2015	Metastatic Breast Cancer (INSERM, PLoS Med 2016)	Whole exome sequencing of 216 tumor/normal (blood) pairs from metastatic breast cancer patients who underwent a biopsy in the context of the SAFIR01/SAFIR02 (Unicancer, France), SHIVA (Institut Curie, France) or MOSCATO (Gustave Roussy, France) prospective trials.
137	crc_msk_2017	Metastatic Colorectal Cancer (MSKCC, Cancer Cell 2018)	Targeted sequencing of 1134 metastatic colorectal tumor/normal pairs.
138	egc_msk_2017	Metastatic Esophagogastric Cancer (MSKCC, Cancer Discovery 2017)	Prospective genomic profiling of 341 samples from 305 metastatic esophagogastric cancer patients
139	skcm_ucla_2016	Metastatic Melanoma (UCLA, Cell 2016)	Whole-exome sequences (WES) of 38 pretreatment (pembrolizumab and nivolumab) melanoma tumors with matched normals.
140	prad_mich	Metastatic Prostate Adenocarcinoma (MCTP, Nature 2012)	Comprehensive profiling of 61 prostate cancer samples, including 50 metastatic CRPCs and 11 high-grade localized prostate cancers. Generated by Arul Chinnaiyan's and Scott Tomlins' labs at the University of Michigan.
141	prad_su2c_2019	Metastatic Prostate Adenocarcinoma (SU2C/PCF Dream Team, PNAS 2019)	Whole exome sequencing of 444 castrate resistant prostate cancer tumor/normal pairs. SU2C-PCF Dream Team: Precision Therapy for Advanced Prostate Cancer.
142	prad_su2c_2015	Metastatic Prostate Cancer (SU2C/PCF Dream Team, Cell 2015)	Comprehensive analysis of 150 metastatic prostate cancer samples by the SU2C/PCF Dream Team
143	mm_broad	Multiple Myeloma (Broad, Cancer Cell 2014)	Whole-exome or whole-genome sequencing of 203 multiple myeloma paired tumor/normal sample pairs.
144	mds_tokyo_2011	Myelodysplasia (UTokyo, Nature 2011)	Whole exome sequencing of 29 myelodysplasia tumor/normal pairs.
145	cellline_nci60	NCI-60 Cell Lines (NCI, Cancer Res 2012)	NCI-60 cell line project; raw data at <A HREF="http://discover.nci.nih.gov/cellminer/loadDownload.do">CellMiner</A>.
146	npc_nusingapore	Nasopharyngeal Carcinoma (Singapore, Nat Genet 2014)	Whole exome sequencing of 56 NPC tumor/normal pairs.
147	nbl_amc_2012	Neuroblastoma (AMC Amsterdam, Nature 2012)	Whole genome sequencing of 87 primary neuroblastoma tumors and their matched normals.
148	nbl_broad_2013	Neuroblastoma (Broad, Nat Genet 2013)	Whole Genome and Whole Exome sequencing of 240 high-risk neuroblastoma tumor/normal pairs.
149	nbl_ucologne_2015	Neuroblastoma (Broad, Nature 2015)	Whole-genome sequencing of 56 neuroblastoma tumor/normal pairs.
150	nepc_wcm_2016	Neuroendocrine Prostate Cancer (Multi-Institute, Nat Med 2016)	Whole exome sequencing of 114 metastatic tumor/normal pairs to understand genomic overlap between castration resistant adenocarcinoma (CRPC-Adeno) and neuroendocrine histologies (CRPC-NE).
151	skcm_vanderbilt_mskcc_2015	Next generation sequencing (NGS) of pre-treatment metastatic melanoma samples (MSK, JCO Precision Oncology 2017)	Next generation sequencing (NGS) of pre-treatment tumor to identify co-altered genes that predict for intrinsic resistance to BRAF inhibitor therapy in melanoma patients as a prelude to rational combination strategies.
152	nhl_bcgsc_2011	Non-Hodgkin Lymphoma (BCGSC, Nature 2011)	Whole genome or whole exome sequencing of 14 NHL tumors and their matched normals.
153	lung_msk_2017	Non-Small Cell Cancer (MSKCC, Cancer Discov 2017)	Prospective molecular characterization of 860 patients with metastatic lung adenocarcinoma
154	nsclc_pd1_msk_2018	Non-Small Cell Lung Cancer (MSKCC, J Clin Oncol 2018)	Targeted next-generation sequencing of 240 NSCLC tumor/normal pairs treated at MSKCC with anti-PD-(L)1 based therapy using the MSK-IMPACT assay.
155	nsclc_unito_2016	Non-Small Cell Lung Cancer (University of Turin, Lung Cancer 2017)	Targeted next-generation sequencing of 41 NSCLC samples.
156	blca_nmibc_2017	Nonmuscle Invasive Bladder Cancer (MSK Eur Urol 2017)	Genomic Landscape and Predictors of Response for High Risk NMIBC
157	hnsc_mdanderson_2013	Oral Squamous Cell Carcinoma (MD Anderson, Cancer Discov 2013)	Comprehensive profiling of 40 oral squamous cell carcinoma tumor/normal sample pairs.
158	ov_tcga_pub	Ovarian Serous Cystadenocarcinoma (TCGA, Nature 2011)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Serous Ovarian Cancer project. 489 cases.<br> <a href="https://tcga-data.nci.nih.gov/docs/publications/ov_2011/">Raw data via the TCGA Data Portal</a>.
159	ov_tcga_pan_can_atlas_2018	Ovarian Serous Cystadenocarcinoma (TCGA, PanCancer Atlas)	Ovarian Serous Cystadenocarcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
160	ov_tcga	Ovarian Serous Cystadenocarcinoma (TCGA, Provisional)	TCGA Ovarian Serous Cystadenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/OV/20160128/gdac.broadinstitute.org_OV.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
161	nsclc_tcga_broad_2016	Pan-Lung Cancer (TCGA, Nat Genet 2016)	Whole-exome sequencing of 660 lung ADC and 484 lung SqCC tumor/normal pairs.
162	paad_icgc	Pancreatic Adenocarcinoma (ICGC, Nature 2012)	Whole-exome sequencing of 99 pancreatic samples and their matched normals.
163	paad_qcmg_uq_2016	Pancreatic Adenocarcinoma (QCMG, Nature 2016)	Whole-genome and deep-exome sequencing analysis of 456 pancreatic ductal adenocarcinomas
164	paad_tcga_pan_can_atlas_2018	Pancreatic Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
165	paad_tcga	Pancreatic Adenocarcinoma (TCGA, Provisional)	TCGA Pancreatic Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/PAAD/20160128/gdac.broadinstitute.org_PAAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
166	paad_utsw_2015	Pancreatic Cancer (UTSW, Nat Commun 2015)	Whole exome sequencing of 109 micro-dissected pancreatic cancer cases and normal control tissue.
167	panet_jhu_2011	Pancreatic Neuroendocrine Tumors (Johns Hopkins University, Science 2011)	Whole exome sequencing of 10 pancreatic neuroendocrine tumor patients. <A HREF="https://www.sciencemag.org/content/331/6021/1199/suppl/DC1">
168	panet_arcnet_2017	Pancreatic Neuroendocrine Tumors (Multi-Institute, Nature 2017)	Whole-genome sequencing of 98 pancreatic neuroendocrine tumours (PanNETs) and matched normal DNA pairs.
169	thca_tcga_pub	Papillary Thyroid Carcinoma (TCGA, Cell 2014)	TCGA Papillary Thyroid Carcinoma, containing 230 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=THCA&diseaseName=Thyroid%20carcinoma">NCI</A>.
170	all_phase2_target_2018_pub	Pediatric Acute Lymphoid Leukemia - Phase II (TARGET, 2018)	Comprehensive profiling of ALL Phase 2 samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p
171	aml_target_2018_pub	Pediatric Acute Myeloid Leukemia (TARGET, 2018)	Comprehensive profiling of TARGET-AML samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
172	es_dfarber_broad_2014	Pediatric Ewing Sarcoma (DFCI, Cancer Discov 2014)	Whole exome sequencing of 96 pediatric Ewing Sarcoma tumors and 11 cell lines.
173	nbl_target_2018_pub	Pediatric Neuroblastoma (TARGET, 2018)	Comprehensive profiling of 1089 NBL samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
174	pediatric_dkfz_2017	Pediatric Pan-Cancer (DKFZ - German Cancer Consortium,  2017)	Comprehensive genomic profiling of 961 Pediatric Cancer samples. Data generated from Pfister Lab & DKFZ/German Cancer Consortium.
175	mixed_pipseq_2017	Pediatric Pan-cancer (Columbia U, Genome Med 2016)	Whole exome sequencing of 103 samples (88 with matched normals) from 88 high-risk pediatric cancer patients.
176	rt_target_2018_pub	Pediatric Rhabdoid Tumor (TARGET, 2018)	Comprehensive profiling of 72 patients with Rhabdoid Tumor. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
177	wt_target_2018_pub	Pediatric Wilms' Tumor (TARGET, 2018)	Comprehensive profiling of 657 Wilms' Tumor samples. <p>TARGET data is intended exclusively for biomedical research using pediatric data (i.e., the research objectives cannot be accomplished using data from adults) that focus on the development of more effective treatments, diagnostic tests, or prognostic markers for childhood cancers. Moreover, TARGET data can be used for research relevant to the biology, causes, treatment and late complications of treatment of pediatric cancers, but is not intended for the sole purposes of methods and/or tool development (please see <a href="https://ocg.cancer.gov/programs/target/using-target-data">Using TARGET Data</a> section of the OCG website). If you are interested in using TARGET data for publication or other research purposes, you must follow the <a href="https://ocg.cancer.gov/programs/target/target-publication-guidelines">TARGET Publication Guidelines</a>.</p>
178	pcpg_tcga_pan_can_atlas_2018	Pheochromocytoma and Paraganglioma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
179	pcpg_tcga	Pheochromocytoma and Paraganglioma (TCGA, Provisional)	TCGA Pheochromocytoma and Paraganglioma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/PCPG/20160128/gdac.broadinstitute.org_PCPG.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
180	past_dkfz_heidelberg_2013	Pilocytic Astrocytoma (ICGC, Nature Genetics 2013)	Whole-genome sequencing of 96 pilocytic astrocytoma tumor/normal pairs. Conducted by the International Cancer Genome Consortium (ICGC) PedBrain Tumor Project.
181	plmeso_nyu_2015	Pleural Mesothelioma (NYU, Cancer Res 2015)	Whole-exome sequencing of 22 malignant pleural mesotheliomas (PLMESO) tumor/normal pairs.
182	thyroid_mskcc_2016	Poorly-Differentiated and Anaplastic Thyroid Cancers (MSKCC, JCI 2016)	Next-generation sequencing of 341 cancer genes from 117 patient-derived PDTCs and ATCs
183	pcnsl_mayo_2015	Primary Central Nervous System Lymphoma (Mayo Clinic, Clin Cancer Res 2015)	Exome sequencing of 19 immunocompetent primary central nervous system lymphoma (PCNSL) samples.
184	prad_broad_2013	Prostate Adenocarcinoma (Broad/Cornell, Cell 2013)	Comprehensive profiling of 57 prostate cancer samples. Generated by Levi Garraway's lab at the Broad Institute and Mark Rubin's lab at Cornell.
185	prad_broad	Prostate Adenocarcinoma (Broad/Cornell, Nat Genet 2012)	Comprehensive profiling of 112 prostate cancer samples. Generated by Levi Garraway's lab at the Broad Institute and Mark Rubin's lab at Cornell.
186	prad_cpcg_2017	Prostate Adenocarcinoma (CPC-GENE, Nature 2017)	Comprehensive genomic profiling of 477 Prostate Adenocarcinoma samples from CPC-GENE and public data sets, including TCGA-PRAD.
187	prad_eururol_2017	Prostate Adenocarcinoma (EurUrol, 2017)	Whole-genome and Transcriptome Sequencing of 65 Prostate Adenocarcinoma Patients. Generated by the Sun Lab 2017.
188	prad_fhcrc	Prostate Adenocarcinoma (Fred Hutchinson CRC, Nat Med 2016)	Comprehensive profiling of prostate cancer samples. Generated by Peter Nelson's lab at the Fred Hutchinson Cancer Research Center.
189	prad_mskcc	Prostate Adenocarcinoma (MSKCC, Cancer Cell 2010)	MSKCC Prostate Oncogenome Project. 181 primary, 37 metastatic prostate cancer samples, 12 prostate cancer cell lines and xenografts.<br><a href="http://cbio.mskcc.org/cancergenomics/prostate/data/">Normalized flat data files</a>. <a href="http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21032">Raw data via GEO (GSE21032)</a>.
190	prad_p1000	Prostate Adenocarcinoma (MSKCC/DFCI, Nature Genetics 2018)	Whole Exome Sequencing of 1013 prostate cancer samples.
191	prad_tcga_pub	Prostate Adenocarcinoma (TCGA, Cell 2015)	Integrated profiling of 333 primary prostate adenocarcinoma samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/docs/publications/prad_2015/">NCI</A>.
192	prad_tcga_pan_can_atlas_2018	Prostate Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
193	prad_tcga	Prostate Adenocarcinoma (TCGA, Provisional)	TCGA Prostate Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/PRAD/20160128/gdac.broadinstitute.org_PRAD.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
194	prad_mskcc_2014	Prostate Adenocarcinoma CNA study (MSKCC, PNAS 2014)	Copy-number profiling of 103 primary prostate cancer samples from MSKCC. <a href="http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54691">Raw data via GEO (GSE54691)</a>.
195	prad_mskcc_cheny1_organoids_2014	Prostate Adenocarcinoma Organoids (MSKCC, Cell 2014)	Exome profiling of prostate cancer samples and matched organoids.
196	prad_mskcc_2017	Prostate Cancer (MSKCC, JCO Precis Oncol 2017)	Targeted sequencing of 504 prostate cancer tumor/normal pairs via MSK-IMPACT.
197	hnc_mskcc_2016	Recurrent and Metastatic Head & Neck Cancer (MSKCC, JAMA Oncol 2016)	Targeted sequencing of 151 patients with advanced, treatment resistant head and neck tumors
198	ccrcc_utokyo_2013	Renal Clear Cell Carcinoma (UTokyo, Nat Genet 2013)	Whole exome and/or whole genome sequencing of 106 clear cell renal cell carcinoma tumor/normal pairs.
199	nccrcc_genentech_2014	Renal Non-Clear Cell Carcinoma (Genentech, Nat Genet 2014)	Exome sequencing of 139 samples with matched normals and RNA-sequencing of 7 samples (5 samples with matched normals) from 145 Renal Non-Clear Cell Carcinoma (nccRCC) patients.
200	mrt_bcgsc_2016	Rhabdoid Cancer (BCGSC, Cancer Cell 2016)	Whole-genome sequencing of tumor-normal sample pairs from 40 patients with Malignant Rhabdoid Cancer.
201	rms_nih_2014	Rhabdomyosarcoma (NIH, Cancer Discov 2014)	Whole-genome or whole-exome sequencing of 43 rhabdomyosarcoma tumor/normal pairs.
202	summit_2018	SUMMIT - Neratinib Basket Study (Multi-Institute, Nature 2018)	MSK-IMPACT sequencing of 86 patients with HER2- and HER3-mutant cancers
203	sarc_mskcc	Sarcoma (MSKCC/Broad, Nat Genet 2010)	Sanger-sequenced 226 protein-coding genes (3,849 exons and adjacent intronic) on 207 samples (with 205 matched normals) encompassing 7 major sarcoma subtypes.
204	sarc_tcga_pan_can_atlas_2018	Sarcoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
205	sarc_tcga	Sarcoma (TCGA, Provisional)	TCGA Sarcoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/SARC/20160128/gdac.broadinstitute.org_SARC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
206	skcm_broad	Skin Cutaneous Melanoma (Broad, Cell 2012)	Comprehensive profiling of 121 melanoma samples. Generated by the Broad Institute.
207	skcm_tcga_pan_can_atlas_2018	Skin Cutaneous Melanoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
208	skcm_tcga	Skin Cutaneous Melanoma (TCGA, Provisional)	TCGA Skin Cutaneous Melanoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/SKCM/20160128/gdac.broadinstitute.org_SKCM.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
209	skcm_yale	Skin Cutaneous Melanoma (Yale, Nat Genet 2012)	Exome sequencing of 147 melanoma samples with 99 matched normals.
210	skcm_broad_brafresist_2012	Skin Cutaneous Melanoma(Broad, Cancer Discov 2014)	Exome Sequencing of tumors (with matched normals) from 45 patients with BRAFV600-mutant metastatic melanoma who received vemurafenib or dabrafenib monotherapy.
211	scco_mskcc	Small Cell Carcinoma of the Ovary (MSKCC, Nat Genet 2014)	Targeted sequencing of 12 SCCO paired tumor and normal samples.
212	sclc_clcgp	Small Cell Lung Cancer (CLCGP, Nat Genet 2012)	Comprehensive profiling of 29 small cell lung cancer samples. Generated by the Clinical Lung Cancer Genome Project.
213	sclc_jhu	Small Cell Lung Cancer (Johns Hopkins, Nat Genet 2012)	Comprehensive profiling of 36 primary human SCLC tumors and 17 matched SCLC and lymphoblastoid cell lines. Generated by Johns Hopkins.
214	sclc_ucologne_2015	Small Cell Lung Cancer (U Cologne, Nature 2015)	Whole-genome sequencing of 110 small cell lung cancer(SCLC) tumour samples and matched normal material.
215	sclc_cancercell_gardner_2017	Small-Cell Lung Cancer (Multi-Institute, Cancer Cell 2017)	Whole Exome Sequencing of paired chemosensitive and chemoresistant SCLC PDX.
216	vsc_cuk_2018	Squamous Cell Carcinoma of the Vulva (CUK, Exp Mol Med 2018)	Whole exome sequencing of tumor/normal pairs from 15 vulvar squamous cell carcinomas.
217	stad_pfizer_uhongkong	Stomach Adenocarcinoma (Pfizer and UHK, Nat Genet 2014)	Whole genome sequencing of 100 gastric cancer tumor-normal pairs from the University of Hong Kong and Pfizer.
218	stad_tcga_pub	Stomach Adenocarcinoma (TCGA, Nature 2014)	Single nucleotide polymorphism array somatic copy-number analysis, whole-exome sequencing, mRNA sequencing, miRNA sequencing, array-based DNA methylation profiling and reverse-phase protein arrays of 295 primary gastric adenocarcinomas tumors with matched normals. TCGA Stomach Adenocarcinoma Project; raw data at the <A HREF="https://tcga-data.nci.nih.gov/docs/publications/stad_2014/">NCI</A>.
219	stad_tcga_pan_can_atlas_2018	Stomach Adenocarcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
220	stad_tcga	Stomach Adenocarcinoma (TCGA, Provisional)	TCGA Stomach Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/STAD/20160128/gdac.broadinstitute.org_STAD.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
221	stad_utokyo	Stomach Adenocarcinoma (U Tokyo, Nat Genet 2014)	Whole exome sequencing of 30 diffuse-type gastric adenocarcinoma samples from the University of Tokyo.
222	stad_uhongkong	Stomach Adenocarcinoma (UHK, Nat Genet 2011)	Exome sequencing of 22 gastric cancer samples.
223	stes_tcga_pub	TCGA data for Esophagus-Stomach Cancers (TCGA, Nature 2017)	TCGA data for Esophagus-Stomach Cancers.
224	tmb_mskcc_2018	TMB and Immunotherapy (MSKCC, Nat Genet 2019)	Genomic and survival data from 1661 tumor-normal pairs from 1661 patients with various cancer types sequenced with the MSK-IMPACT assay.
225	tgct_tcga	Testicular Germ Cell Cancer (TCGA, Provisional)	TCGA Testicular Germ Cell Cancer; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/TGCT/20160128/gdac.broadinstitute.org_TGCT.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
